user_id,likes,comments,shares,engagement_rate,followers_count,following_count,post_count,main_topic,cluster
00137598-1910-45a0-bb9d-65cea0864795,2733.5714285714284,294.7142857142857,155.14285714285714,0.05877142857142857,54157.0,9499.0,7,15,3
001940bc-9dbc-4e3b-afdd-191cc0a2675b,3501.0,382.75,180.75,0.058124999999999996,69913.0,7821.0,4,2,0
004b929c-8edb-4e58-97b6-4c4ac3b69534,2339.2,180.0,98.6,0.05636,46451.0,8944.0,5,0,2
00681cda-59a2-4c81-bcb8-4329d9ea6d7f,2112.875,228.375,112.125,0.0575375,42642.0,4148.0,8,6,2
007b1164-3330-4ac9-8bdf-44dd945c762e,139.0,13.0,11.0,0.052175,3146.0,2329.0,2,8,1
00871eaf-2e02-4c2a-9806-8216d2acb89e,2670.8,321.8,142.6,0.05858,53532.0,6227.0,5,2,2
0095f558-0f94-4623-8737-f918e814864a,36.625,3.125,0.75,0.05538125,749.0,3229.0,8,3,1
00b07091-5fba-4608-8b1e-492a5d172bcb,470.4,48.4,22.6,0.058600000000000006,9239.0,9517.0,5,1,1
00ea06a6-ffe1-498c-b7a5-2378a78f372d,553.0,37.0,24.0,0.0552,11124.0,6500.0,1,11,3
00ef8ead-f935-4b64-a66c-699ef481585a,2441.3333333333335,201.66666666666666,108.66666666666667,0.056666666666666664,48548.0,249.0,3,3,2
01268ab8-e483-47eb-9058-751e81d6518e,602.6666666666666,46.833333333333336,16.833333333333332,0.05423333333333333,12314.0,4568.0,6,3,1
01376704-fe30-4036-b9f1-6777e79fed61,3819.0,271.5,370.0,0.058,76923.0,1711.0,2,5,0
013e8401-eb70-4e4e-9ae5-715fb4f6aa13,19.5,1.0,1.0,0.055575,387.0,4833.0,4,3,1
014f9871-4a15-4ac0-8c73-500ce0ac97df,543.0,53.0,31.0,0.0558,11240.0,5884.0,1,5,1
01980bd8-1e95-40cd-82f2-e59e33783404,411.5,38.833333333333336,26.333333333333332,0.05714166666666667,8373.0,6112.0,6,0,1
019ba4ba-2911-4dfa-93fe-0cb118c27b76,2110.5,195.5,100.5,0.0572,42076.0,7368.0,4,5,2
019c58b8-8f94-4333-abd4-5545abd0cfc4,4870.6,413.8,263.4,0.05702,97293.0,4778.0,5,0,0
01f05ab9-6634-42ef-8c05-215d2278fb55,626.1666666666666,70.66666666666667,42.0,0.057749999999999996,12793.0,168.0,6,0,1
01f28994-fe90-4ac4-badb-d38ccb750a21,606.1428571428571,61.57142857142857,16.714285714285715,0.05631428571428571,12150.0,2100.0,7,2,1
01f45e95-bd6b-424e-8bd4-50a6465b342b,1812.3333333333333,161.33333333333334,69.66666666666667,0.05653333333333333,36136.0,5514.0,3,8,3
01f61095-343e-47cc-a264-bfb26317e290,704.6666666666666,62.666666666666664,42.666666666666664,0.0551,14696.0,6766.0,3,0,1
02035895-f155-4381-b46e-165af3a83f71,481.75,43.5,24.0,0.058225,9437.0,5599.0,4,2,1
0212ad5e-09b6-4e55-b9b5-60a1b4eef3b3,3976.0,491.0,73.0,0.0577,78704.0,7414.0,1,10,0
02341c5a-1ba8-45f4-8906-76704609da73,2813.3333333333335,347.0,145.0,0.059666666666666666,55390.0,5740.0,3,9,2
